id	type	source	dest	length (mi)	ffspd (mph)	capacity(veh/hr)	num_lanes
12	centroid-connector	1	2	1	30	1800	1
45	centroid-connector	4	5	1	30	1800	1
78	centroid-connector	7	8	1	30	1800	1
109	centroid-connector	10	9	1	30	1800	1
1112	centroid-connector	11	12	1	30	1800	1
1314	centroid-connector	13	14	1	30	1800	1
1718	centroid-connector	17	18	1	30	1800	1
1516	centroid-connector	15	16	1	30	1800	1
23	ltm	2	3	3	30	1800	1
34	ltm	3	4	3	30	1800	1
37	ltm	3	7	2	30	1800	1
93	ltm	9	3	2	30	1800	1
311	ltm	3	11	4	30	1800	1
143	ltm	14	3	4	30	1800	1
315	ltm	3	15	2	30	1800	1
183	ltm	18	3	2	30	1800	1



